condition,category,direction,alpha,n_traces,mean_ORIENT,shift_ORIENT,d_ORIENT,p_ORIENT,mean_DESCRIBE,shift_DESCRIBE,d_DESCRIBE,p_DESCRIBE,mean_SYNTHESIZE,shift_SYNTHESIZE,d_SYNTHESIZE,p_SYNTHESIZE,mean_HYPO,shift_HYPO,d_HYPO,p_HYPO,mean_TEST,shift_TEST,d_TEST,p_TEST,mean_JUDGE,shift_JUDGE,d_JUDGE,p_JUDGE,mean_PLAN,shift_PLAN,d_PLAN,p_PLAN,mean_MONITOR,shift_MONITOR,d_MONITOR,p_MONITOR,mean_RULE,shift_RULE,d_RULE,p_RULE,completion_rate,mean_n_sentences,mean_entropy
HYPO_neg_1.0,HYPO,neg,1.0,1,0.0275862068965517,0.016222570532915398,0.0,1.0,0.1103448275862069,0.0080721003134797,0.0,1.0,0.1586206896551724,0.0942267502612331,0.0,1.0,0.096551724137931,-0.0170846394984326,0.0,1.0,0.3586206896551724,-0.1641065830721003,0.0,1.0,0.0827586206896551,0.0032131661442005993,0.0,1.0,0.1103448275862069,0.0686781609195403,0.0,1.0,0.0206896551724137,-0.0361285266457681,0.0,1.0,0.0344827586206896,0.0269070010449321,0.0,1.0,1.0,145.0,1.9228036484016169
HYPO_pos_1.0,HYPO,pos,1.0,1,0.0123456790123456,0.0009820426487093005,0.0,1.0,0.0658436213991769,-0.03642910587355029,0.0,1.0,0.074074074074074,0.009680134680134705,0.0,1.0,0.2386831275720164,0.12504676393565278,0.0,1.0,0.4032921810699588,-0.11943509165731392,0.0,1.0,0.1234567901234567,0.0439113355780022,0.0,1.0,0.0411522633744856,-0.0005144032921810052,0.0,1.0,0.0411522633744856,-0.015665918443696206,0.0,1.0,0.0,-0.0075757575757575,0.0,1.0,0.0,243.0,1.743119917898786
