category,condition,signed_alpha,target_prop,seed
HYPO,HYPO_pos_1.0,1.0,0.2266666666666666,2805
HYPO,HYPO_pos_1.0,1.0,0.1478873239436619,2806
HYPO,HYPO_pos_1.0,1.0,0.1197183098591549,2807
HYPO,HYPO_pos_1.0,1.0,0.0996677740863787,2808
HYPO,HYPO_pos_1.0,1.0,0.1811320754716981,2809
HYPO,HYPO_pos_1.0,1.0,0.1504424778761062,2810
HYPO,HYPO_pos_1.0,1.0,0.1132075471698113,3801
HYPO,HYPO_pos_1.0,1.0,0.2986301369863013,3802
HYPO,HYPO_pos_1.0,1.0,0.206266318537859,3803
HYPO,HYPO_pos_1.0,1.0,0.2098765432098765,3804
HYPO,HYPO_pos_1.0,1.0,0.2215189873417721,3805
HYPO,HYPO_pos_1.0,1.0,0.2036363636363636,3806
HYPO,HYPO_pos_1.0,1.0,0.1282051282051282,3807
HYPO,HYPO_pos_1.0,1.0,0.1690140845070422,3808
HYPO,HYPO_pos_1.0,1.0,0.1891891891891892,3809
HYPO,HYPO_pos_1.0,1.0,0.2462462462462462,3810
HYPO,HYPO_pos_1.0,1.0,0.3,4801
HYPO,HYPO_pos_1.0,1.0,0.4166666666666667,4802
HYPO,HYPO_pos_1.0,1.0,0.1975806451612903,4803
HYPO,HYPO_pos_1.0,1.0,0.5476190476190477,4804
HYPO,HYPO_pos_1.0,1.0,0.2253521126760563,4805
HYPO,HYPO_pos_1.0,1.0,0.1270903010033444,4806
HYPO,HYPO_pos_1.0,1.0,0.2131147540983606,4807
HYPO,HYPO_pos_1.0,1.0,0.2335766423357664,4808
HYPO,HYPO_pos_1.0,1.0,0.1333333333333333,4809
HYPO,HYPO_pos_1.0,1.0,0.2537313432835821,4810
HYPO,HYPO_neg_0.5,-0.5,0.0833333333333333,1801
HYPO,HYPO_neg_0.5,-0.5,0.1511627906976744,1802
HYPO,HYPO_neg_0.5,-0.5,0.0,1803
HYPO,HYPO_neg_0.5,-0.5,0.1422222222222222,1804
HYPO,HYPO_neg_0.5,-0.5,0.1282051282051282,1805
HYPO,HYPO_neg_0.5,-0.5,0.1101694915254237,1806
HYPO,HYPO_neg_0.5,-0.5,0.2470588235294117,1807
HYPO,HYPO_neg_0.5,-0.5,0.0538922155688622,1808
HYPO,HYPO_neg_0.5,-0.5,0.032258064516129,1809
HYPO,HYPO_neg_0.5,-0.5,0.2153846153846154,1810
HYPO,HYPO_neg_0.5,-0.5,0.125,2801
HYPO,HYPO_neg_0.5,-0.5,0.1304347826086956,2802
HYPO,HYPO_neg_0.5,-0.5,0.2329192546583851,2803
HYPO,HYPO_neg_0.5,-0.5,0.1535433070866141,2804
HYPO,HYPO_neg_0.5,-0.5,0.0594795539033457,2805
HYPO,HYPO_neg_0.5,-0.5,0.1636363636363636,2806
HYPO,HYPO_neg_0.5,-0.5,0.1743119266055046,2807
HYPO,HYPO_neg_0.5,-0.5,0.1353711790393013,2808
HYPO,HYPO_neg_0.5,-0.5,0.10546875,2809
HYPO,HYPO_neg_0.5,-0.5,0.2077922077922078,2810
HYPO,HYPO_neg_0.5,-0.5,0.226890756302521,3801
HYPO,HYPO_neg_0.5,-0.5,0.1822916666666666,3802
HYPO,HYPO_neg_0.5,-0.5,0.1563636363636363,3803
HYPO,HYPO_neg_0.5,-0.5,0.1937984496124031,3804
HYPO,HYPO_neg_0.5,-0.5,0.1066176470588235,3805
HYPO,HYPO_neg_0.5,-0.5,0.2020725388601036,3806
HYPO,HYPO_neg_0.5,-0.5,0.1518151815181518,3807
HYPO,HYPO_neg_0.5,-0.5,0.1355140186915887,3808
HYPO,HYPO_neg_0.5,-0.5,0.1071428571428571,3809
HYPO,HYPO_neg_0.5,-0.5,0.0,3810
HYPO,HYPO_neg_0.5,-0.5,0.2710843373493976,4801
HYPO,HYPO_neg_0.5,-0.5,0.1493055555555555,4802
HYPO,HYPO_neg_0.5,-0.5,0.1666666666666666,4803
HYPO,HYPO_neg_0.5,-0.5,0.1744186046511628,4804
HYPO,HYPO_neg_0.5,-0.5,0.0666666666666666,4805
HYPO,HYPO_neg_0.5,-0.5,0.154228855721393,4806
HYPO,HYPO_neg_0.5,-0.5,0.0344827586206896,4807
HYPO,HYPO_neg_0.5,-0.5,0.0988372093023255,4808
HYPO,HYPO_neg_0.5,-0.5,0.08,4809
HYPO,HYPO_neg_0.5,-0.5,0.0729166666666666,4810
HYPO,HYPO_neg_1.0,-1.0,0.1172413793103448,1801
HYPO,HYPO_neg_1.0,-1.0,0.2482517482517482,1802
HYPO,HYPO_neg_1.0,-1.0,0.1696969696969697,1803
HYPO,HYPO_neg_1.0,-1.0,0.2553191489361702,1804
HYPO,HYPO_neg_1.0,-1.0,0.2716049382716049,1805
HYPO,HYPO_neg_1.0,-1.0,0.1559633027522936,1806
HYPO,HYPO_neg_1.0,-1.0,0.2131147540983606,1807
HYPO,HYPO_neg_1.0,-1.0,0.136518771331058,1808
HYPO,HYPO_neg_1.0,-1.0,0.1414141414141414,1809
HYPO,HYPO_neg_1.0,-1.0,0.1264367816091954,1810
HYPO,HYPO_neg_1.0,-1.0,0.1632653061224489,2801
HYPO,HYPO_neg_1.0,-1.0,0.1221864951768488,2802
HYPO,HYPO_neg_1.0,-1.0,0.0675675675675675,2803
HYPO,HYPO_neg_1.0,-1.0,0.1404109589041096,2804
