,ORIENT,DESCRIBE,SYNTHESIZE,HYPO,TEST,JUDGE,PLAN,MONITOR,RULE
ORIENT,18.0,21.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0
DESCRIBE,6.0,110.0,0.0,30.0,36.0,4.0,43.0,48.0,0.0
SYNTHESIZE,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0
HYPO,0.0,11.0,1.0,296.0,226.0,186.0,54.0,512.0,0.0
TEST,0.0,19.0,3.0,135.0,790.0,221.0,50.0,74.0,1.0
JUDGE,0.0,7.0,0.0,248.0,48.0,287.0,38.0,147.0,0.0
PLAN,0.0,66.0,1.0,36.0,162.0,2.0,80.0,38.0,0.0
MONITOR,0.0,44.0,0.0,546.0,35.0,78.0,99.0,2500.0,0.0
RULE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
