,ORIENT,DESCRIBE,SYNTHESIZE,HYPO,TEST,JUDGE,PLAN,MONITOR,RULE
ORIENT,0.9182389937106918,0.050314465408805034,0.0,0.0,0.0,0.0,0.031446540880503145,0.0,0.0
DESCRIBE,0.007685738684884714,0.8898377455166524,0.02220324508966695,0.0025619128949615714,0.04526046114432109,0.0017079419299743809,0.025619128949615714,0.005123825789923143,0.0
SYNTHESIZE,0.0,0.04389312977099236,0.4904580152671756,0.06297709923664122,0.3015267175572519,0.04198473282442748,0.02480916030534351,0.030534351145038167,0.003816793893129771
HYPO,0.0,0.0007555723460521345,0.019644880997355497,0.8145069890442009,0.09180204004533433,0.04533434076312807,0.017000377786173027,0.009444654325651681,0.001511144692104269
TEST,0.0,0.008382449246889325,0.0398166339227243,0.03169613621480026,0.8523903077930582,0.04178127046496398,0.0183366077275704,0.006548788474132285,0.0010478061558611656
JUDGE,0.0,0.0,0.022794846382556987,0.07433102081268583,0.1565906838453915,0.6967294350842418,0.002973240832507433,0.04311199207135778,0.003468780971258672
PLAN,0.0034542314335060447,0.025906735751295335,0.015544041450777202,0.0690846286701209,0.10535405872193437,0.0051813471502590676,0.7495682210708118,0.025906735751295335,0.0
MONITOR,0.0,0.031791907514450865,0.017341040462427744,0.06647398843930635,0.13005780346820808,0.1531791907514451,0.0838150289017341,0.5173410404624278,0.0
RULE,0.0,0.014492753623188406,0.057971014492753624,0.13043478260869565,0.014492753623188406,0.043478260869565216,0.028985507246376812,0.0,0.7101449275362319
