,label,total,with_dep,empty,pct_with_dep,mean_deps,mean_distance
0,ORIENT,725,373,352,51.4,0.5186206896551724,1.0106382978723405
1,DESCRIBE,6134,5972,162,97.4,0.9744049559830453,2.0307846745859126
2,SYNTHESIZE,2828,2650,178,93.7,3.4473125884016973,3.4217868499333264
3,HYPO,12824,12792,32,99.8,1.7331565814098566,27.632637451633222
4,TEST,36832,36663,169,99.5,2.491963509991312,2.8448858188791073
5,JUDGE,9054,9031,23,99.7,2.8357631985862604,3.0474391431353456
6,PLAN,2973,2941,32,98.9,0.9892364614867137,3.037062223733424
7,MONITOR,1684,1684,0,100.0,1.0,1.0
8,RULE,329,327,2,99.4,1.9452887537993921,7.2296875
