,trace_key,task_id,set,completed,n_nodes,n_edges,density,n_weakly_connected,longest_path,mean_in_degree,max_in_degree,max_out_degree
76,set_a/task2/trace_037,2,A,True,127,286,0.017873,3,59,2.252,5,18
77,set_a/task2/trace_038,2,A,True,172,316,0.010744,3,80,1.837,5,16
78,set_a/task2/trace_039,2,A,False,245,517,0.008648,2,146,2.11,5,16
79,set_a/task2/trace_040,2,A,False,316,867,0.00871,5,143,2.744,5,18
80,set_a/task3/trace_001,3,A,False,299,718,0.008058,1,200,2.401,5,14
81,set_a/task3/trace_002,3,A,False,343,776,0.006615,3,175,2.262,5,11
82,set_a/task3/trace_003,3,A,False,303,809,0.008841,1,214,2.67,5,20
83,set_a/task3/trace_004,3,A,False,242,542,0.009293,4,71,2.24,5,20
84,set_a/task3/trace_005,3,A,False,242,566,0.009705,1,142,2.339,5,14
85,set_a/task3/trace_006,3,A,True,124,207,0.013572,1,49,1.669,5,12
86,set_a/task3/trace_007,3,A,False,271,607,0.008296,2,103,2.24,14,19
87,set_a/task3/trace_008,3,A,False,334,709,0.006375,1,191,2.123,5,16
88,set_a/task3/trace_009,3,A,False,132,321,0.018563,1,74,2.432,4,18
89,set_a/task3/trace_010,3,A,False,257,516,0.007843,2,112,2.008,4,14
90,set_a/task3/trace_011,3,A,False,272,639,0.008669,3,147,2.349,5,15
91,set_a/task3/trace_012,3,A,False,244,493,0.008315,5,102,2.02,5,16
92,set_a/task3/trace_013,3,A,False,238,411,0.007286,12,107,1.727,5,8
93,set_a/task3/trace_014,3,A,False,313,761,0.007793,3,230,2.431,5,16
94,set_a/task3/trace_015,3,A,True,207,508,0.011913,3,128,2.454,5,21
95,set_a/task3/trace_016,3,A,False,312,750,0.007729,1,184,2.404,4,20
96,set_a/task3/trace_017,3,A,False,260,682,0.010128,1,169,2.623,5,18
97,set_a/task3/trace_018,3,A,False,282,625,0.007887,2,135,2.216,5,16
98,set_a/task3/trace_019,3,A,True,172,354,0.012036,2,84,2.058,5,15
99,set_a/task3/trace_020,3,A,True,184,422,0.012533,2,81,2.293,5,20
100,set_a/task3/trace_021,3,A,False,316,757,0.007605,4,161,2.396,4,19
101,set_a/task3/trace_022,3,A,False,344,846,0.00717,3,219,2.459,5,22
102,set_a/task3/trace_023,3,A,False,240,534,0.00931,8,122,2.225,5,19
103,set_a/task3/trace_024,3,A,True,268,587,0.008203,1,146,2.19,5,17
104,set_a/task3/trace_025,3,A,False,284,569,0.00708,3,192,2.004,4,17
105,set_a/task3/trace_026,3,A,False,216,458,0.009862,1,154,2.12,5,17
106,set_a/task3/trace_027,3,A,False,280,610,0.007808,8,112,2.179,5,22
107,set_a/task3/trace_028,3,A,False,237,538,0.009619,3,83,2.27,5,19
108,set_a/task3/trace_029,3,A,True,137,348,0.018678,2,76,2.54,5,21
109,set_a/task3/trace_030,3,A,False,298,737,0.008327,13,160,2.473,5,20
110,set_a/task3/trace_031,3,A,True,100,204,0.020606,2,50,2.04,4,12
111,set_a/task3/trace_032,3,A,False,281,635,0.008071,8,154,2.26,5,18
112,set_a/task3/trace_033,3,A,False,255,529,0.008167,1,155,2.075,4,16
113,set_a/task3/trace_034,3,A,False,256,619,0.009482,1,135,2.418,5,15
114,set_a/task3/trace_035,3,A,True,127,220,0.013748,1,71,1.732,5,11
115,set_a/task3/trace_036,3,A,False,261,634,0.009343,3,160,2.429,6,15
116,set_a/task3/trace_037,3,A,False,221,522,0.010736,4,149,2.362,4,20
117,set_a/task3/trace_038,3,A,False,325,628,0.005964,2,183,1.932,5,24
118,set_a/task3/trace_039,3,A,True,116,221,0.016567,3,55,1.905,4,21
119,set_a/task3/trace_040,3,A,False,287,701,0.00854,3,178,2.443,5,20
120,set_a/task4/trace_001,4,A,False,237,518,0.009261,1,79,2.186,5,19
121,set_a/task4/trace_002,4,A,True,89,144,0.018386,2,44,1.618,5,9
122,set_a/task4/trace_003,4,A,False,288,595,0.007199,3,144,2.066,4,18
123,set_a/task4/trace_004,4,A,True,103,182,0.017323,2,24,1.767,5,12
124,set_a/task4/trace_005,4,A,True,171,359,0.01235,2,83,2.099,5,14
125,set_a/task4/trace_006,4,A,False,206,406,0.009614,4,79,1.971,5,14
126,set_a/task4/trace_007,4,A,False,217,495,0.010561,5,135,2.281,5,18
127,set_a/task4/trace_008,4,A,False,237,555,0.009923,4,113,2.342,4,17
128,set_a/task4/trace_009,4,A,True,28,54,0.071429,1,19,1.929,5,7
129,set_a/task4/trace_010,4,A,False,338,769,0.006751,4,210,2.275,5,19
130,set_a/task4/trace_011,4,A,False,250,424,0.006811,2,106,1.696,4,11
131,set_a/task4/trace_012,4,A,True,111,218,0.017854,1,58,1.964,4,15
132,set_a/task4/trace_013,4,A,False,333,783,0.007082,4,184,2.351,4,22
133,set_a/task4/trace_014,4,A,True,41,94,0.057317,2,30,2.293,5,5
134,set_a/task4/trace_015,4,A,False,287,642,0.007821,3,155,2.237,5,24
135,set_a/task4/trace_016,4,A,True,229,519,0.00994,1,126,2.266,5,19
136,set_a/task4/trace_017,4,A,False,286,624,0.007656,1,159,2.182,5,17
137,set_a/task4/trace_018,4,A,True,36,53,0.042063,1,17,1.472,5,10
138,set_a/task4/trace_019,4,A,True,149,345,0.015645,1,73,2.315,5,19
139,set_a/task4/trace_020,4,A,False,302,636,0.006997,2,169,2.106,4,18
140,set_a/task4/trace_021,4,A,False,249,580,0.009392,8,128,2.329,5,23
141,set_a/task4/trace_022,4,A,True,118,271,0.019629,1,76,2.297,5,12
142,set_a/task4/trace_023,4,A,True,121,228,0.015702,3,71,1.884,5,12
143,set_a/task4/trace_024,4,A,False,131,205,0.012038,5,54,1.565,4,11
144,set_a/task4/trace_025,4,A,True,36,65,0.051587,1,17,1.806,5,7
145,set_a/task4/trace_026,4,A,True,50,76,0.03102,1,28,1.52,5,6
146,set_a/task4/trace_027,4,A,False,309,717,0.007534,3,170,2.32,4,21
147,set_a/task4/trace_028,4,A,True,73,115,0.02188,4,15,1.575,5,4
148,set_a/task4/trace_029,4,A,True,181,400,0.012277,2,82,2.21,4,18
149,set_a/task4/trace_030,4,A,False,257,624,0.009484,3,128,2.428,5,19
150,set_a/task4/trace_031,4,A,True,82,164,0.024691,1,57,2.0,5,12
151,set_a/task4/trace_032,4,A,True,54,87,0.030398,1,37,1.611,4,9
152,set_a/task4/trace_033,4,A,False,298,614,0.006937,9,156,2.06,5,20
153,set_a/task4/trace_034,4,A,True,106,225,0.020216,11,14,2.123,5,6
154,set_a/task4/trace_035,4,A,False,262,719,0.010514,4,154,2.744,5,20
155,set_a/task4/trace_036,4,A,False,296,702,0.008039,3,201,2.372,4,18
156,set_a/task4/trace_037,4,A,False,224,412,0.008248,3,142,1.839,5,13
157,set_a/task4/trace_038,4,A,False,225,439,0.00871,5,108,1.951,4,16
158,set_a/task4/trace_039,4,A,True,33,57,0.053977,1,16,1.727,5,8
159,set_a/task4/trace_040,4,A,True,245,487,0.008147,3,108,1.988,5,12
160,set_b/task1/trace_001,1,B,False,295,577,0.006653,1,187,1.956,4,12
161,set_b/task1/trace_002,1,B,True,80,143,0.022627,2,30,1.788,4,14
162,set_b/task1/trace_003,1,B,True,214,455,0.009982,1,120,2.126,5,19
163,set_b/task1/trace_004,1,B,True,198,434,0.011126,1,80,2.192,4,20
164,set_b/task1/trace_005,1,B,False,250,525,0.008434,1,165,2.1,5,13
165,set_b/task1/trace_006,1,B,True,96,184,0.020175,2,29,1.917,5,19
166,set_b/task1/trace_007,1,B,True,219,498,0.010431,1,160,2.274,5,18
167,set_b/task1/trace_008,1,B,True,126,244,0.015492,2,62,1.937,4,13
168,set_b/task1/trace_009,1,B,True,172,287,0.009758,3,53,1.669,5,15
169,set_b/task1/trace_010,1,B,True,144,242,0.011752,4,46,1.681,5,16
170,set_b/task1/trace_011,1,B,True,185,304,0.008931,1,93,1.643,5,15
171,set_b/task1/trace_012,1,B,True,32,86,0.086694,1,23,2.688,5,5
172,set_b/task1/trace_013,1,B,True,137,228,0.012237,1,62,1.664,5,9
173,set_b/task1/trace_014,1,B,True,51,84,0.032941,1,43,1.647,5,6
174,set_b/task1/trace_015,1,B,True,149,265,0.012017,1,84,1.779,4,11
175,set_b/task1/trace_016,1,B,True,223,460,0.009292,6,104,2.063,5,16
176,set_b/task1/trace_017,1,B,True,36,73,0.057937,1,30,2.028,5,4
177,set_b/task1/trace_018,1,B,True,255,491,0.007581,7,100,1.925,5,15
178,set_b/task1/trace_019,1,B,True,40,51,0.032692,1,19,1.275,5,5
179,set_b/task1/trace_020,1,B,True,319,693,0.006831,8,188,2.172,5,16
180,set_b/task1/trace_021,1,B,False,438,1024,0.00535,2,234,2.338,4,19
181,set_b/task1/trace_022,1,B,True,105,198,0.018132,1,45,1.886,5,11
182,set_b/task1/trace_023,1,B,True,45,94,0.047475,1,26,2.089,5,7
183,set_b/task1/trace_024,1,B,True,175,389,0.012775,3,106,2.223,5,14
184,set_b/task1/trace_025,1,B,True,120,277,0.019398,1,66,2.308,4,19
185,set_b/task1/trace_026,1,B,True,175,381,0.012512,2,80,2.177,5,20
186,set_b/task1/trace_027,1,B,True,133,249,0.014183,4,63,1.872,5,14
187,set_b/task1/trace_028,1,B,False,279,563,0.007259,1,141,2.018,4,16
